,handle,count,compound,positive,negative,neutral,date
340,BreitbartNews,41,0.0,0.0,0.0,1.0,1520284722.0
467,CBSNews,68,-0.5859,0.0,0.153,0.847,1520284798.0
466,CBSNews,67,0.0258,0.114,0.11,0.776,1520284861.0
271,nytimes,72,0.0,0.0,0.0,1.0,1520285106.0
465,CBSNews,66,0.0,0.0,0.0,1.0,1520285145.0
594,USATODAY,95,-0.4767,0.077,0.157,0.766,1520285244.0
270,nytimes,71,0.0,0.0,0.0,1.0,1520285403.0
183,FoxNews,84,0.7269,0.379,0.0,0.621,1520285414.0
593,USATODAY,94,0.8957,0.362,0.0,0.638,1520285431.0
464,CBSNews,65,0.0,0.0,0.0,1.0,1520285638.0
592,USATODAY,93,0.0,0.0,0.0,1.0,1520285741.0
463,CBSNews,64,-0.1027,0.118,0.136,0.746,1520285793.0
339,BreitbartNews,40,0.0,0.0,0.0,1.0,1520285804.0
269,nytimes,70,0.0,0.0,0.0,1.0,1520286011.0
462,CBSNews,63,0.0,0.0,0.0,1.0,1520286061.0
591,USATODAY,92,0.6124,0.167,0.0,0.833,1520286306.0
590,USATODAY,91,0.0,0.0,0.0,1.0,1520286400.0
461,CBSNews,62,-0.34,0.0,0.107,0.893,1520286519.0
338,BreitbartNews,39,0.0,0.0,0.0,1.0,1520286896.0
268,nytimes,69,-0.8687,0.0,0.403,0.597,1520286901.0
182,FoxNews,83,-0.3818,0.0,0.178,0.822,1520287175.0
589,USATODAY,90,-0.7783,0.091,0.387,0.522,1520287226.0
460,CBSNews,61,0.0,0.0,0.0,1.0,1520287261.0
181,FoxNews,82,0.2732,0.264,0.176,0.56,1520287604.0
9,BBC,10,0.0,0.0,0.0,1.0,1520287620.0
588,USATODAY,89,0.4019,0.114,0.0,0.886,1520287742.0
267,nytimes,68,0.4019,0.114,0.0,0.886,1520287802.0
8,BBC,9,-0.6621,0.0,0.24,0.76,1520287888.0
337,BreitbartNews,38,0.0,0.0,0.0,1.0,1520287942.0
587,USATODAY,88,0.0,0.0,0.0,1.0,1520288065.0
586,USATODAY,87,-0.2263,0.0,0.095,0.905,1520288105.0
585,USATODAY,86,0.0,0.0,0.0,1.0,1520288106.0
459,CBSNews,60,0.0,0.0,0.0,1.0,1520288113.0
458,CBSNews,59,0.5574,0.235,0.0,0.765,1520288200.0
457,CBSNews,58,0.2584,0.156,0.0,0.844,1520288370.0
266,nytimes,67,0.0,0.0,0.0,1.0,1520288407.0
180,FoxNews,81,0.6771,0.317,0.0,0.683,1520288989.0
336,BreitbartNews,37,0.0,0.0,0.0,1.0,1520288991.0
584,USATODAY,85,0.4404,0.153,0.0,0.847,1520289009.0
456,CBSNews,57,0.5423,0.189,0.0,0.811,1520289061.0
179,FoxNews,80,-0.296,0.0,0.268,0.732,1520289152.0
265,nytimes,66,0.6705,0.244,0.0,0.756,1520289307.0
7,BBC,8,0.0,0.0,0.0,1.0,1520289756.0
6,BBC,7,-0.1779,0.0,0.145,0.855,1520289793.0
583,USATODAY,84,-0.3818,0.0,0.302,0.698,1520289905.0
264,nytimes,65,0.836,0.294,0.0,0.706,1520289909.0
455,CBSNews,56,-0.5994,0.0,0.178,0.822,1520289961.0
178,FoxNews,79,-0.0516,0.121,0.129,0.75,1520290048.0
335,BreitbartNews,36,0.0,0.0,0.0,1.0,1520290068.0
5,BBC,6,0.0,0.0,0.0,1.0,1520290123.0
582,USATODAY,83,0.0,0.0,0.0,1.0,1520290124.0
177,FoxNews,78,0.4215,0.149,0.0,0.851,1520290181.0
176,FoxNews,77,0.34,0.179,0.0,0.821,1520290222.0
581,USATODAY,82,-0.1511,0.0,0.15,0.85,1520290501.0
263,nytimes,64,-0.6249,0.0,0.282,0.718,1520290811.0
454,CBSNews,55,-0.2732,0.0,0.149,0.851,1520290861.0
334,BreitbartNews,35,0.0,0.0,0.0,1.0,1520291189.0
175,FoxNews,76,-0.4215,0.0,0.149,0.851,1520291676.0
262,nytimes,63,0.0,0.0,0.0,1.0,1520291707.0
453,CBSNews,54,-0.5859,0.0,0.27,0.73,1520291761.0
580,USATODAY,81,-0.34,0.0,0.167,0.833,1520291829.0
